id_cliente,id_plan,id_dispositivo,id_ubicacion,id_facturacion,id_promocion,id_fecha,id_soporte,id_servicio,id_evento,duracion_llamada,datos_consumidos_gb,minutos_usados,mensajes_enviados,costo_total,ancho_banda
392,22,180,928,670,817,500,543,970,197,1.47,11.87,853,273,155.4,50Mbps
403,614,690,832,831,659,321,123,823,415,35.63,45.07,679,468,140.72,100Mbps
253,542,835,594,117,40,727,86,419,596,9.57,43.51,444,438,227.06,100Mbps
599,411,977,1000,298,318,461,723,635,532,4.83,13.96,486,227,249.38,100Mbps
207,61,238,224,744,285,179,748,849,960,29.26,20.56,440,269,203.39,50Mbps
214,304,189,113,337,884,544,449,379,448,51.55,31.17,152,296,88.69,100Mbps
75,38,941,950,61,470,495,74,496,204,49.59,48.24,229,223,140.4,50Mbps
525,562,202,755,112,717,21,809,781,793,50.11,34.69,790,149,296.52,10Mbps
470,128,673,6,506,197,569,517,108,190,48.41,44.32,134,108,201.61,100Mbps
949,237,74,81,580,371,267,753,938,309,33.72,35.7,277,480,38.45,50Mbps
55,556,594,324,521,836,732,526,65,801,7.69,35.39,800,380,78.5,100Mbps
766,646,881,910,490,581,60,940,814,239,27.25,35.5,82,480,28.58,100Mbps
489,758,924,145,382,488,323,307,564,172,46.33,45.76,856,359,196.46,50Mbps
737,280,897,241,330,107,798,71,30,657,16.63,12.93,258,96,109.51,10Mbps
771,644,175,890,380,420,228,721,933,331,45.3,18.02,492,27,146.44,100Mbps
346,400,309,257,445,423,447,783,593,293,40.14,19.2,244,16,202.79,10Mbps
788,250,655,290,23,55,576,241,286,162,39.72,14.9,207,142,44.84,10Mbps
329,879,113,923,132,764,321,125,948,625,34.96,3.54,641,433,254.03,10Mbps
565,866,200,452,763,439,926,695,743,285,11.6,8.5,615,96,147.11,10Mbps
562,806,610,972,841,523,151,284,430,443,52.47,2.67,304,204,210.49,10Mbps
75,629,862,901,512,617,381,513,538,389,52.21,21.94,229,348,117.57,10Mbps
593,35,433,523,224,87,356,821,444,78,20.25,37.7,914,156,263.96,50Mbps
108,582,484,372,967,993,701,868,127,996,44.12,25.28,588,414,116.47,10Mbps
817,747,1,643,573,850,348,292,898,100,36.26,17.05,538,236,229.71,10Mbps
730,741,763,69,988,129,570,275,351,681,29.79,22.13,811,83,180.0,10Mbps
691,270,206,910,558,596,555,453,510,222,8.36,14.73,680,374,218.3,10Mbps
64,419,119,521,730,381,252,722,964,626,26.19,3.55,136,266,84.29,50Mbps
521,598,737,507,577,284,404,978,736,736,25.27,35.83,707,223,172.6,10Mbps
780,90,852,131,672,799,787,341,842,395,32.88,24.92,711,315,16.88,100Mbps
122,385,281,61,872,637,176,986,780,15,28.95,12.99,971,72,230.68,50Mbps
858,550,127,248,46,341,839,686,636,306,35.47,49.63,837,138,66.5,100Mbps
429,942,475,134,564,114,266,61,532,61,57.51,25.91,25,410,247.03,10Mbps
530,557,891,300,231,822,155,74,946,253,48.15,29.04,474,469,42.02,100Mbps
209,618,361,480,824,533,394,476,345,904,1.01,3.04,223,389,266.42,10Mbps
863,256,57,191,780,858,523,185,675,272,35.2,11.15,419,336,218.79,10Mbps
550,388,894,697,445,807,253,590,931,213,36.87,46.78,633,105,99.44,10Mbps
631,848,563,488,370,627,410,329,382,818,7.45,36.66,869,483,294.1,100Mbps
215,906,594,841,361,788,604,140,531,850,55.73,3.9,348,101,299.11,10Mbps
147,515,889,106,137,527,293,650,266,368,37.51,33.49,770,151,87.31,100Mbps
761,850,423,663,247,684,210,40,931,629,14.14,1.39,442,77,297.75,100Mbps
323,774,359,157,217,647,237,344,240,216,14.61,40.65,944,477,214.0,10Mbps
762,961,849,815,605,945,213,356,723,221,10.99,4.95,451,152,178.12,10Mbps
771,886,297,638,368,496,968,935,572,614,35.6,18.19,862,301,42.61,10Mbps
912,158,338,934,396,898,454,311,77,777,18.48,40.11,198,369,200.71,100Mbps
881,138,996,484,849,650,29,60,216,447,28.47,14.13,48,114,85.11,100Mbps
52,620,940,132,285,907,665,897,871,638,9.43,4.27,458,40,122.15,50Mbps
144,560,201,695,867,102,229,472,300,310,35.13,10.78,143,376,51.89,10Mbps
597,228,371,362,362,242,508,154,909,149,28.56,38.09,747,118,121.65,100Mbps
621,596,773,333,520,594,674,697,72,513,27.17,37.67,162,176,14.34,10Mbps
546,724,772,90,425,871,690,904,629,142,29.43,48.35,805,268,174.41,10Mbps
233,851,461,122,410,913,876,916,732,895,57.75,0.54,840,126,252.93,10Mbps
573,176,285,312,404,664,456,317,865,292,53.8,29.59,888,361,162.85,50Mbps
690,967,416,672,839,417,320,85,846,722,36.5,11.89,310,407,59.56,50Mbps
776,747,935,478,47,888,107,537,148,114,26.15,34.91,861,29,104.82,100Mbps
105,786,538,858,999,571,156,407,969,619,33.05,29.82,409,56,149.31,50Mbps
557,530,161,466,289,845,28,590,694,379,4.88,3.05,719,328,237.84,100Mbps
939,373,587,643,129,825,865,434,376,751,51.12,47.14,730,201,20.99,100Mbps
163,121,418,930,292,191,512,786,556,954,55.54,9.65,679,446,68.96,100Mbps
363,37,825,808,26,443,687,196,199,455,9.02,26.44,357,194,137.39,100Mbps
740,50,817,772,126,210,145,528,64,481,35.66,14.89,276,330,35.53,50Mbps
482,977,116,831,762,351,329,567,402,978,7.17,1.9,319,152,14.21,10Mbps
453,589,519,845,973,747,91,864,145,912,22.58,11.42,731,256,235.37,100Mbps
359,477,825,844,916,23,374,577,64,844,7.15,24.5,810,222,230.48,10Mbps
